number,value,datetime_start,datetime_complete,duration,params_drop_correlated,params_feature_selection,params_learning_rate,params_loss,params_n_estimators,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,76.33988338425968,2022-10-24 16:34:07.474633,2022-10-24 16:34:33.180320,0 days 00:00:25.705687,no,MutualInformation,0.2269400239799676,square,50,2.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.2269400239799676,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=2))])",no,MutualInformation,2.0,retained,no,34.70828396886362,23.30231317389637,69.27395321347261,35.53128355008406,23.353546328250342,76.33988338425968,COMPLETE
1,67.26966135944836,2022-10-24 16:34:33.332442,2022-10-24 16:35:26.740922,0 days 00:00:53.408480,no,FeatureImportance_ET,0.19672973771441027,exponential,50,17.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=AdaBoostRegressor(learning_rate=0.19672973771441027,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=17))])",no,FeatureImportance_ET,17.0,retained,no,33.73831673229606,24.543215623509195,59.621719820975876,34.490836241515325,24.56157889328698,67.26966135944836,COMPLETE
2,69.65623159847053,2022-10-24 16:35:26.896607,2022-10-24 16:35:36.038910,0 days 00:00:09.142303,no,ANOVA,0.11558731300817444,exponential,50,5.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostRegressor(learning_rate=0.11558731300817444,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=5))])",no,ANOVA,5.0,retained,no,31.449508247359688,21.302380300481445,61.443317764891354,32.022160546208056,21.384120329783297,69.65623159847053,COMPLETE
3,64.00221672012027,2022-10-24 16:35:36.195707,2022-10-24 16:36:29.750154,0 days 00:00:53.554447,no,FeatureImportance_ET,0.016384208318465147,square,50,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=AdaBoostRegressor(learning_rate=0.016384208318465147,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=14))])",no,FeatureImportance_ET,14.0,retained,no,27.44634855315711,16.992407551266073,59.57975391880327,27.9355862538049,16.92552152573045,64.00221672012027,COMPLETE
4,73.72457691748343,2022-10-24 16:36:29.907345,2022-10-24 16:37:01.990740,0 days 00:00:32.083395,yes,FeatureImportance_ET,0.31841746548463373,linear,50,7.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=AdaBoostRegressor(learning_rate=0.31841746548463373,
                                                                     random_state=120),
                                             number=7))])",yes,FeatureImportance_ET,7.0,retained,no,35.8896298724565,23.364988926959104,66.6703896110361,36.71337831205012,23.431218343552455,73.72457691748343,COMPLETE
5,69.67254250392199,2022-10-24 16:37:02.148688,2022-10-24 16:37:30.963151,0 days 00:00:28.814463,,FeatureWiz,0.1865703477943855,linear,50,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=AdaBoostRegressor(learning_rate=0.1865703477943855,
                                                                     random_state=120)))])",no,FeatureWiz,,retained,no,34.474323303437686,24.257824844222778,62.17855408093516,35.26624201001405,24.24911015788817,69.67254250392199,COMPLETE
6,74.06463620464696,2022-10-24 16:37:31.128088,2022-10-24 16:38:00.190801,0 days 00:00:29.062713,,FeatureWiz,0.17275260783126667,square,50,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=AdaBoostRegressor(learning_rate=0.17275260783126667,
                                                                     loss='square',
                                                                     random_state=120)))])",no,FeatureWiz,,retained,no,35.224620454475165,24.197008050780585,67.11113608774646,36.074035950494014,24.205560561336,74.06463620464696,COMPLETE
7,76.7558764139855,2022-10-24 16:38:00.332213,2022-10-24 16:38:20.498833,0 days 00:00:20.166620,yes,Lasso,0.31351008000289554,square,50,21.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=AdaBoostRegressor(learning_rate=0.31351008000289554,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=21))])",yes,Lasso,21.0,retained,no,36.57980798258585,24.644815204897657,70.16555158589513,37.32988766085724,24.72045017437973,76.7558764139855,COMPLETE
8,66.22058392901816,2022-10-24 16:38:20.664221,2022-10-24 16:38:41.829327,0 days 00:00:21.165106,yes,Lasso,0.07160893603106805,exponential,50,29.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=AdaBoostRegressor(learning_rate=0.07160893603106805,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=29))])",yes,Lasso,29.0,retained,no,28.17540876168735,18.67725942566003,56.14139165755893,28.914502687538675,18.715189317393413,66.22058392901816,COMPLETE
9,64.05866606396053,2022-10-24 16:38:41.982171,2022-10-24 16:39:02.819644,0 days 00:00:20.837473,yes,MutualInformation,0.01841738215506896,square,50,27.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.01841738215506896,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=27))])",yes,MutualInformation,27.0,retained,no,27.2911455444178,16.93806470739,59.326622783848585,27.79832937991785,16.9195287486823,64.05866606396053,COMPLETE
