number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_drop_correlated,params_feature_selection,params_iterations,params_l2_leaf_reg,params_learning_rate,params_loss_function,params_max_depth,params_nan_mode,params_number_features,params_random_strength,params_task_type,params_verbose,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,63.15277380015198,2022-10-24 19:53:46.463219,2022-10-24 19:54:28.347804,0 days 00:00:41.884585,Plain,no,MutualInformation,50,6,0.05067541064344856,RMSE,8,Min,2.0,1.7677116470878762,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB4238D150>,
                                             number=2))])",no,MutualInformation,2.0,retained,no,21.054440394378947,9.377889648051507,60.37785008649735,21.255056431075886,9.364247793564305,63.15277380015198,COMPLETE
1,57.88343116109945,2022-10-24 19:54:28.655382,2022-10-24 19:56:01.243673,0 days 00:01:32.588291,Plain,no,FeatureImportance_ET,50,8,0.2552831893354226,RMSE,8,Min,17.0,0.5036148301698937,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FC6BC0>,
                                             number=17))])",no,FeatureImportance_ET,17.0,retained,no,13.746799030356835,5.542757227441296,37.06162668512573,15.833798477768058,5.718372760719073,57.88343116109945,COMPLETE
2,59.40741865494428,2022-10-24 19:56:01.553816,2022-10-24 19:56:15.837671,0 days 00:00:14.283855,Plain,no,ANOVA,50,4,0.10920821986238795,RMSE,7,Min,5.0,1.6255590935040727,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FC4FD0>,
                                             number=5))])",no,ANOVA,5.0,retained,no,15.5472988601422,5.675804663180318,56.13644366567714,15.922553539157258,5.737341099396563,59.40741865494428,COMPLETE
3,59.60037715784669,2022-10-24 19:56:16.166774,2022-10-24 19:57:46.423548,0 days 00:01:30.256774,Plain,no,FeatureImportance_ET,50,7,0.21739534049949805,RMSE,4,Min,14.0,6.664161243912641,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FC5FF0>,
                                             number=14))])",no,FeatureImportance_ET,14.0,retained,no,15.965964162246872,6.204921469888567,49.54271483904919,16.817531556408294,6.225905185767561,59.60037715784669,COMPLETE
4,66.20890274303635,2022-10-24 19:57:46.758036,2022-10-24 19:58:39.067717,0 days 00:00:52.309681,Plain,yes,FeatureImportance_ET,50,9,0.04804496705936604,RMSE,9,Min,7.0,0.13448461220900146,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FC7940>,
                                             number=7))])",yes,FeatureImportance_ET,7.0,retained,no,22.677027474460274,10.242417869860969,60.304132213788115,23.112481802935033,10.301592910405732,66.20890274303635,COMPLETE
5,121.62044632167641,2022-10-24 19:58:39.422745,2022-10-24 19:59:22.670046,0 days 00:00:43.247301,Plain,,FeatureWiz,50,8,0.016130738320225792,RMSE,8,Min,,0.4137875589866782,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB405CE530>))])",no,FeatureWiz,,retained,no,61.182288381610185,38.69927937310208,121.16693886308589,61.25706063516018,38.70897506708328,121.62044632167641,COMPLETE
6,149.34151668158222,2022-10-24 19:59:22.992177,2022-10-24 20:00:06.397177,0 days 00:00:43.405000,Plain,,FeatureWiz,50,2,0.010228594534651364,RMSE,8,Min,,0.15439807280897833,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB405CEDD0>))])",no,FeatureWiz,,retained,no,78.55679192339554,51.69957707242124,149.16369307811098,78.57933009182618,51.77647719234917,149.34151668158222,COMPLETE
7,60.530406533366126,2022-10-24 20:00:06.741565,2022-10-24 20:00:32.243856,0 days 00:00:25.502291,Plain,yes,Lasso,50,9,0.1716324574251751,RMSE,9,Min,21.0,8.509727642274402,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB400E32E0>,
                                             number=21))])",yes,Lasso,21.0,retained,no,14.56535636757973,6.066945874996734,40.313179766111965,16.661654012162405,6.202468167392069,60.530406533366126,COMPLETE
8,61.75006132773972,2022-10-24 20:00:32.566314,2022-10-24 20:00:56.837007,0 days 00:00:24.270693,Plain,yes,Lasso,50,2,0.22231825381535705,RMSE,6,Min,29.0,3.9903830735547707,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41F58880>,
                                             number=29))])",yes,Lasso,29.0,retained,no,14.40495913144874,5.465231704693686,40.40331277419091,16.377059090082742,5.610655279274925,61.75006132773972,COMPLETE
9,70.63658542019236,2022-10-24 20:00:57.138702,2022-10-24 20:01:23.363925,0 days 00:00:26.225223,Plain,yes,MutualInformation,50,6,0.04313692636022049,RMSE,4,Min,27.0,9.400954430940457,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB4238E860>,
                                             number=27))])",yes,MutualInformation,27.0,retained,no,31.035598084851546,19.62820741965255,68.33391767563838,31.211398123343496,19.611239135785112,70.63658542019236,COMPLETE
