number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_drop_correlated,params_feature_selection,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,61.85316191498557,2022-10-24 11:16:19.320439,2022-10-24 11:16:55.621015,0 days 00:00:36.300576,66.94888870521439,friedman_mse,yes,FeatureImportance_ET,20.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=DecisionTreeRegressor(ccp_alpha=66.94888870521439,
                                                                         criterion='friedman_mse',
                                                                         random_state=120),
                                             number=20))])",yes,FeatureImportance_ET,20.0,retained,no,18.944327913663667,9.968554161679632,45.56492564273156,20.178567371483396,10.07804421129662,61.85316191498557,COMPLETE
1,152.95461122834408,2022-10-24 11:16:55.791705,2022-10-24 11:17:15.773916,0 days 00:00:19.982211,67.96832364353936,poisson,yes,Lasso,7.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=67.96832364353936,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=7))])",yes,Lasso,7.0,retained,no,70.20844778740205,34.159458396142234,152.9879800089399,70.2585352551536,34.21770738343202,152.95461122834408,COMPLETE
2,62.866146020961445,2022-10-24 11:17:15.934802,2022-10-24 11:17:47.326740,0 days 00:00:31.391938,65.13753452384192,squared_error,no,Lasso,28.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=65.13753452384192,
                                                                         random_state=120),
                                             number=28))])",no,Lasso,28.0,retained,no,18.76062170520278,9.96255812231882,45.210318460739806,20.013260318403724,10.064350889033193,62.866146020961445,COMPLETE
3,61.318683477602626,2022-10-24 11:17:47.505421,2022-10-24 11:18:07.146843,0 days 00:00:19.641422,72.6327091836818,friedman_mse,yes,MutualInformation,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=72.6327091836818,
                                                                         criterion='friedman_mse',
                                                                         random_state=120),
                                             number=14))])",yes,MutualInformation,14.0,retained,no,19.37837113329393,10.041826224368075,46.30688440500742,20.563621414450683,10.167764396851828,61.318683477602626,COMPLETE
4,59.63247276573055,2022-10-24 11:18:07.309958,2022-10-24 11:18:27.729984,0 days 00:00:20.420026,57.29926425838937,squared_error,yes,Lasso,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=57.29926425838937,
                                                                         random_state=120),
                                             number=19))])",yes,Lasso,19.0,retained,no,18.665437982749395,9.960028631723132,44.86784695720397,19.83533236926589,10.065766773040835,59.63247276573055,COMPLETE
5,245.71709544607074,2022-10-24 11:18:27.888722,2022-10-24 11:19:37.605486,0 days 00:01:09.716764,61.16594711159912,absolute_error,,FeatureWiz,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=DecisionTreeRegressor(ccp_alpha=61.16594711159912,
                                                                         criterion='absolute_error',
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,99.88656266100672,31.861827841666667,245.89327583474005,99.89208518023868,31.860039788333335,245.71709544607074,COMPLETE
6,152.9546112283441,2022-10-24 11:19:37.766981,2022-10-24 11:19:57.712756,0 days 00:00:19.945775,52.150582910208435,poisson,yes,Lasso,24.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=52.150582910208435,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=24))])",yes,Lasso,24.0,retained,no,70.20844778740201,34.159458396142135,152.9879800089399,70.25853525515356,34.21770738343195,152.9546112283441,COMPLETE
7,152.95461122834405,2022-10-24 11:19:57.866421,2022-10-24 11:20:49.390786,0 days 00:00:51.524365,62.22722943839495,poisson,no,FeatureImportance_ET,15.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=DecisionTreeRegressor(ccp_alpha=62.22722943839495,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=15))])",no,FeatureImportance_ET,15.0,retained,no,70.20844778740205,34.159458396142234,152.9879800089399,70.25853525515357,34.21770738343208,152.95461122834405,COMPLETE
8,245.71709544607074,2022-10-24 11:20:49.569298,2022-10-24 11:22:02.124467,0 days 00:01:12.555169,73.89950335847415,absolute_error,yes,MutualInformation,27.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=73.89950335847415,
                                                                         criterion='absolute_error',
                                                                         random_state=120),
                                             number=27))])",yes,MutualInformation,27.0,retained,no,99.88656266100672,31.861827841666667,245.89327583474005,99.89208518023868,31.860039788333335,245.71709544607074,COMPLETE
9,152.95461122834408,2022-10-24 11:22:02.288176,2022-10-24 11:22:21.273056,0 days 00:00:18.984880,66.89354889970166,poisson,yes,MutualInformation,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=66.89354889970166,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=19))])",yes,MutualInformation,19.0,retained,no,70.20844778740208,34.159458396142476,152.9879800089399,70.25853525515363,34.21770738343229,152.95461122834408,COMPLETE
