number,value,datetime_start,datetime_complete,duration,params_alpha,params_drop_correlated,params_feature_selection,params_l1_ratio,params_max_iter,params_number_features,params_outlier_indicator,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,163.7128078393147,2022-10-23 22:00:52.456008,2022-10-23 22:01:25.265469,0 days 00:00:32.809461,0.01869899411757269,,FeatureWiz,0.0011960589653873907,10000,,capped,Robust,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interva...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ElasticNet(alpha=0.01869899411757269,
                                                              l1_ratio=0.0011960589653873907,
                                                              max_iter=10000,
                                                              random_state=120),
                                             scaling_indicator='Robust'))])",no,FeatureWiz,,capped,Robust,74.63896203229444,37.91203214046215,163.64756023328786,74.71160953255196,38.023033706474635,163.7128078393147,COMPLETE
1,164.9746668388887,2022-10-23 22:01:25.428106,2022-10-23 22:01:59.454887,0 days 00:00:34.026781,0.03378763935957136,no,MutualInformation,0.00012773072551832513,10000,2.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interva...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=ElasticNet(alpha=0.03378763935957136,
                                                              l1_ratio=0.00012773072551832513,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=2,
                                             scaling_indicator='Standard'))])",no,MutualInformation,2.0,capped,Standard,73.78543036681015,34.83085612221773,165.0926779299499,73.8137813612443,34.82976464181427,164.9746668388887,COMPLETE
2,163.97106457131608,2022-10-23 22:01:59.614325,2022-10-23 22:03:05.054806,0 days 00:01:05.440481,3.099613884098898e-05,no,FeatureImportance_ET,8.989671461061162e-06,10000,6.0,capped,MinMax,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interva...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=ElasticNet(alpha=3.099613884098898e-05,
                                                              l1_ratio=8.989671461061162e-06,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=6,
                                             scaling_indicator='MinMax'))])",no,FeatureImportance_ET,6.0,capped,MinMax,77.19251473724756,37.86557005729125,163.97736550559318,77.2502529778288,37.962439096016375,163.97106457131608,COMPLETE
3,145.76920268682764,2022-10-23 22:03:05.205740,2022-10-23 22:05:24.213346,0 days 00:02:19.007606,2.3398634023426e-06,no,Lasso,0.07949307486759304,10000,20.0,retained,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=ElasticNet(alpha=2.3398634023426e-06,
                                                              l1_ratio=0.07949307486759304,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=20,
                                             scaling_indicator='Standard'))])",no,Lasso,20.0,retained,Standard,78.30950813581188,51.985472996699734,145.55505919193737,78.48955653888089,52.13340485374385,145.76920268682764,COMPLETE
4,167.34030049833908,2022-10-23 22:05:24.366163,2022-10-23 22:05:33.626728,0 days 00:00:09.260565,0.028194662257173767,yes,Lasso,7.084874357461778e-05,10000,9.0,retained,Combine,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=ElasticNet(alpha=0.028194662257173767,
                                                              l1_ratio=7.084874357461778e-05,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=9,
                                             scaling_indicator='Combine'))])",yes,Lasso,9.0,retained,Combine,99.14405978490554,75.51325550945043,167.3304091525829,99.19453014718704,75.67017139821964,167.34030049833908,COMPLETE
5,164.27891431801672,2022-10-23 22:05:33.807671,2022-10-23 22:06:16.224000,0 days 00:00:42.416329,0.005130823658017438,yes,MutualInformation,0.030814434473563437,10000,25.0,retained,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=ElasticNet(alpha=0.005130823658017438,
                                                              l1_ratio=0.030814434473563437,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=25,
                                             scaling_indicator='Standard'))])",yes,MutualInformation,25.0,retained,Standard,96.49012676054816,70.81501581118096,164.3230119811268,96.53475502698943,70.76076370594446,164.27891431801672,COMPLETE
6,172.22323408387092,2022-10-23 22:06:16.367575,2022-10-23 22:06:25.945137,0 days 00:00:09.577562,0.5570050497605599,yes,ANOVA,0.5212123768131298,10000,29.0,retained,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='ANOVA',
                                             model=ElasticNet(alpha=0.5570050497605599,
                                                              l1_ratio=0.5212123768131298,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=29,
                                             scaling_indicator='Robust'))])",yes,ANOVA,29.0,retained,Robust,85.82907636982482,54.864149670442934,172.34202180908449,85.8579327564011,54.99763683881284,172.22323408387092,COMPLETE
7,163.26173277088608,2022-10-23 22:06:26.087995,2022-10-23 22:07:33.673245,0 days 00:01:07.585250,0.00012658396382356248,,FeatureWiz,1.0617394710890995e-06,10000,,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interva...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ElasticNet(alpha=0.00012658396382356248,
                                                              l1_ratio=1.0617394710890995e-06,
                                                              max_iter=10000,
                                                              random_state=120),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,capped,Standard,75.47707772385216,39.09350919903889,163.28098230980663,75.5193313563457,39.236577824045945,163.26173277088608,COMPLETE
8,163.1036914065953,2022-10-23 22:07:33.816081,2022-10-23 22:08:00.860602,0 days 00:00:27.044521,0.04984759925434033,yes,MutualInformation,0.00013878604680770223,10000,17.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interva...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=ElasticNet(alpha=0.04984759925434033,
                                                              l1_ratio=0.00013878604680770223,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=17,
                                             scaling_indicator='Standard'))])",yes,MutualInformation,17.0,capped,Standard,73.28540759196768,36.55653077250771,163.15947437596924,73.33181369404602,36.560601337104266,163.1036914065953,COMPLETE
9,145.3143218204956,2022-10-23 22:08:01.008732,2022-10-23 22:11:26.623254,0 days 00:03:25.614522,3.6494003630976874e-05,no,FeatureImportance_ET,1.5057803328316116e-05,10000,25.0,retained,Combine,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=ElasticNet(alpha=3.6494003630976874e-05,
                                                              l1_ratio=1.5057803328316116e-05,
                                                              max_iter=10000,
                                                              random_state=120),
                                             number=25,
                                             scaling_indicator='Combine'))])",no,FeatureImportance_ET,25.0,retained,Combine,77.51738429649953,50.85659415168451,145.0598755180516,77.72381696031601,51.13264791992373,145.3143218204956,COMPLETE
