number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_drop_correlated,params_feature_selection,params_max_depth,params_n_estimators,params_n_jobs,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,51.45987824192656,2022-10-24 15:44:22.140643,2022-10-24 15:44:47.653210,0 days 00:00:25.512567,66.94888870521439,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ExtraTreesRegressor(ccp_alpha=66.94888870521439,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120)))])",no,FeatureWiz,,retained,no,17.7270989009689,10.506913132316368,44.08616052818244,18.255189017411205,10.521811878384291,51.45987824192656,COMPLETE
1,51.44387461670871,2022-10-24 15:44:47.807797,2022-10-24 15:45:15.150718,0 days 00:00:27.342921,74.61438997695103,no,Lasso,10,50,1,11.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=ExtraTreesRegressor(ccp_alpha=74.61438997695103,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120),
                                             number=11))])",no,Lasso,11.0,retained,no,17.057855414733833,9.424712960734928,44.49153075877706,17.614188749475097,9.431862591594381,51.44387461670871,COMPLETE
2,51.13620356002455,2022-10-24 15:45:15.307470,2022-10-24 15:46:06.179726,0 days 00:00:50.872256,73.81358694326958,no,FeatureImportance_ET,10,50,1,17.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=ExtraTreesRegressor(ccp_alpha=73.81358694326958,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120),
                                             number=17))])",no,FeatureImportance_ET,17.0,retained,no,16.754977637946116,9.231754601332844,43.753546672405776,17.274427660418368,9.252852152157963,51.13620356002455,COMPLETE
3,50.22892924536944,2022-10-24 15:46:06.337562,2022-10-24 15:46:39.893882,0 days 00:00:33.556320,63.28637710069775,no,MutualInformation,10,50,1,22.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=ExtraTreesRegressor(ccp_alpha=63.28637710069775,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120),
                                             number=22))])",no,MutualInformation,22.0,retained,no,17.219782645362027,9.982388220885907,43.196701133349364,17.6941528597232,10.00623276832375,50.22892924536944,COMPLETE
4,50.16352382314753,2022-10-24 15:46:40.037162,2022-10-24 15:47:08.789139,0 days 00:00:28.751977,52.07137888864909,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ExtraTreesRegressor(ccp_alpha=52.07137888864909,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120)))])",no,FeatureWiz,,retained,no,16.735462444469402,9.633126937647168,42.15098414239708,17.32538948551048,9.659203546875498,50.16352382314753,COMPLETE
5,50.72823406665784,2022-10-24 15:47:08.933505,2022-10-24 15:48:04.927565,0 days 00:00:55.994060,72.6327091836818,no,FeatureImportance_ET,10,50,1,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=ExtraTreesRegressor(ccp_alpha=72.6327091836818,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120),
                                             number=14))])",no,FeatureImportance_ET,14.0,retained,no,17.142242819215603,10.215191355786658,44.42455124596888,17.604796144928574,10.207732117112313,50.72823406665784,COMPLETE
6,52.020357968152325,2022-10-24 15:48:05.131564,2022-10-24 15:48:36.665325,0 days 00:00:31.533761,68.78746101452839,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ExtraTreesRegressor(ccp_alpha=68.78746101452839,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120)))])",no,FeatureWiz,,retained,no,17.448924449576836,10.339208648885348,43.72703095329188,18.001477277991533,10.337582147477747,52.020357968152325,COMPLETE
7,49.78635068907838,2022-10-24 15:48:36.825059,2022-10-24 15:49:04.139666,0 days 00:00:27.314607,57.98546032568388,no,MutualInformation,10,50,1,10.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=ExtraTreesRegressor(ccp_alpha=57.98546032568388,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120),
                                             number=10))])",no,MutualInformation,10.0,retained,no,16.810703135675464,9.265035024183398,43.1890791571062,17.20764957071619,9.278855820666307,49.78635068907838,COMPLETE
8,51.1526389482325,2022-10-24 15:49:04.292813,2022-10-24 15:49:32.930427,0 days 00:00:28.637614,53.51450913861298,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ExtraTreesRegressor(ccp_alpha=53.51450913861298,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120)))])",no,FeatureWiz,,retained,no,16.670609359388617,9.586560000971165,42.611173679642896,17.322269392347298,9.65482131427239,51.1526389482325,COMPLETE
9,52.34520359160937,2022-10-24 15:49:33.081017,2022-10-24 15:50:03.774799,0 days 00:00:30.693782,65.46780765124223,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=ExtraTreesRegressor(ccp_alpha=65.46780765124223,
                                                                       max_depth=10,
                                                                       n_estimators=50,
                                                                       n_jobs=1,
                                                                       random_state=120)))])",no,FeatureWiz,,retained,no,17.231180496380315,9.394822345423606,43.697960426116424,17.8161429936781,9.401471098874133,52.34520359160937,COMPLETE
