number,value,datetime_start,datetime_complete,duration,params_drop_correlated,params_feature_selection,params_l2_regularization,params_learning_rate,params_max_depth,params_max_leaf_nodes,params_min_samples_leaf,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,55.16385116477938,2022-10-24 16:43:51.901249,2022-10-24 16:44:21.641664,0 days 00:00:29.740415,yes,FeatureImportance_ET,0.4602598140662353,0.2269400239799676,7,27,58,20.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.4602598140662353,
                                                                                 learning_rate=0.2269400239799676,
                                                                                 max_depth=7,
                                                                                 max_leaf_nodes=27,
                                                                                 min_samples_leaf=58,
                                                                                 random_state=120),
                                             number=20))])",yes,FeatureImportance_ET,20.0,retained,no,13.639230926636666,4.656674455111015,47.8767987647993,14.682412279273253,4.720883058167067,55.16385116477938,COMPLETE
1,55.73461181946766,2022-10-24 16:44:21.829520,2022-10-24 16:44:37.888761,0 days 00:00:16.059241,yes,Lasso,0.9945062052393303,0.2738204573358964,10,19,68,7.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.9945062052393303,
                                                                                 learning_rate=0.2738204573358964,
                                                                                 max_depth=10,
                                                                                 max_leaf_nodes=19,
                                                                                 min_samples_leaf=68,
                                                                                 random_state=120),
                                             number=7))])",yes,Lasso,7.0,retained,no,13.960946454298439,4.857572176690911,48.97834219136593,14.938751884617638,4.968819550414395,55.73461181946766,COMPLETE
2,56.4301455018732,2022-10-24 16:44:38.059395,2022-10-24 16:45:04.044524,0 days 00:00:25.985129,no,Lasso,0.15895731486920284,0.16255590935040715,2,36,39,28.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.15895731486920284,
                                                                                 learning_rate=0.16255590935040715,
                                                                                 max_depth=2,
                                                                                 max_leaf_nodes=36,
                                                                                 min_samples_leaf=39,
                                                                                 random_state=120),
                                             number=28))])",no,Lasso,28.0,retained,no,15.432058012258004,6.301782688368905,51.92543109212315,15.918999043543621,6.268905564065641,56.4301455018732,COMPLETE
3,55.19927709164673,2022-10-24 16:45:04.223380,2022-10-24 16:45:20.454697,0 days 00:00:16.231317,yes,MutualInformation,0.2646354234772149,0.646571763682431,5,7,41,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.2646354234772149,
                                                                                 learning_rate=0.646571763682431,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=7,
                                                                                 min_samples_leaf=41,
                                                                                 random_state=120),
                                             number=14))])",yes,MutualInformation,14.0,retained,no,15.157707410432431,6.040647884888344,46.86065030202968,15.954490323389715,6.11144603469647,55.19927709164673,COMPLETE
4,59.43477014976003,2022-10-24 16:45:20.636388,2022-10-24 16:45:37.385197,0 days 00:00:16.748809,yes,Lasso,0.31405125171085635,0.03836552457052335,4,43,75,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.31405125171085635,
                                                                                 learning_rate=0.03836552457052335,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=43,
                                                                                 min_samples_leaf=75,
                                                                                 random_state=120),
                                             number=19))])",yes,Lasso,19.0,retained,no,15.537317684667704,5.441273775864332,55.61494415922896,15.970833599490959,5.46463572621008,59.43477014976003,COMPLETE
5,59.14880441392409,2022-10-24 16:45:37.553579,2022-10-24 16:46:04.270938,0 days 00:00:26.717359,,FeatureWiz,0.6187123060496891,0.07821242813336737,4,13,86,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.6187123060496891,
                                                                                 learning_rate=0.07821242813336737,
                                                                                 max_depth=4,
                                                                                 max_leaf_nodes=13,
                                                                                 min_samples_leaf=86,
                                                                                 random_state=120)))])",no,FeatureWiz,,retained,no,14.857914865994433,5.197642895930092,55.028876396820614,15.381196913503814,5.275004005659691,59.14880441392409,COMPLETE
6,80.70617418628684,2022-10-24 16:46:04.450018,2022-10-24 16:46:21.434269,0 days 00:00:16.984251,yes,Lasso,0.8375048448341186,0.014860952047213495,7,15,80,24.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8375048448341186,
                                                                                 learning_rate=0.014860952047213495,
                                                                                 max_depth=7,
                                                                                 max_leaf_nodes=15,
                                                                                 min_samples_leaf=80,
                                                                                 random_state=120),
                                             number=24))])",yes,Lasso,24.0,retained,no,34.675318122347655,19.82529143341536,79.13306480967042,34.90939943214597,19.839023282436223,80.70617418628684,COMPLETE
7,54.40629845308993,2022-10-24 16:46:21.599635,2022-10-24 16:47:10.847348,0 days 00:00:49.247713,no,FeatureImportance_ET,0.8005072948039265,0.09509952660478978,5,35,26,15.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.8005072948039265,
                                                                                 learning_rate=0.09509952660478978,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=35,
                                                                                 min_samples_leaf=26,
                                                                                 random_state=120),
                                             number=15))])",no,FeatureImportance_ET,15.0,retained,no,13.340182459622175,4.894409329485366,42.72231999773765,14.533818502470979,4.95731163176258,54.40629845308993,COMPLETE
8,58.34600011855455,2022-10-24 16:47:11.025574,2022-10-24 16:47:27.059025,0 days 00:00:16.033451,yes,MutualInformation,0.4297881402842221,0.8165076699416334,6,8,99,27.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.4297881402842221,
                                                                                 learning_rate=0.8165076699416334,
                                                                                 max_depth=6,
                                                                                 max_leaf_nodes=8,
                                                                                 min_samples_leaf=99,
                                                                                 random_state=120),
                                             number=27))])",yes,MutualInformation,27.0,retained,no,15.800924017206192,6.031151514911383,51.288233267495094,16.798579329224708,6.092142518120707,58.34600011855455,COMPLETE
9,55.54467535814664,2022-10-24 16:47:27.235301,2022-10-24 16:47:43.311738,0 days 00:00:16.076437,yes,MutualInformation,0.797176196263629,0.22463835593192705,5,14,34,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HistGradientBoostingRegressor(l2_regularization=0.797176196263629,
                                                                                 learning_rate=0.22463835593192705,
                                                                                 max_depth=5,
                                                                                 max_leaf_nodes=14,
                                                                                 min_samples_leaf=34,
                                                                                 random_state=120),
                                             number=19))])",yes,MutualInformation,19.0,retained,no,13.90203405796578,5.1436617541149126,45.782714070759596,14.922961628340696,5.167659285921133,55.54467535814664,COMPLETE
