number,value,datetime_start,datetime_complete,duration,params_alpha,params_drop_correlated,params_epsilon,params_feature_selection,params_max_iter,params_number_features,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,169.67594652251125,2022-10-23 16:44:42.199723,2022-10-23 16:45:17.439023,0 days 00:00:35.239300,0.0011960595789168287,no,1.6050058888336762,Lasso,10000,22.0,Combine,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.0011960595789168287,
                                                                  epsilon=1.6050058888336762,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='Combine'))])",no,Lasso,22.0,retained,Combine,59.778704627888374,22.65105244316437,169.87895989273136,59.85552690281961,22.791285030527423,169.67594652251125,COMPLETE
1,206.24730846258248,2022-10-23 16:45:17.630199,2022-10-23 16:45:28.727884,0 days 00:00:11.097685,0.5191117586277005,no,1.2837507623766935,ANOVA,10000,22.0,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.5191117586277005,
                                                                  epsilon=1.2837507623766935,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='MinMax'))])",no,ANOVA,22.0,retained,MinMax,69.46190773105519,11.418561935801327,206.40831811487283,69.4701160980416,11.427967422846185,206.24730846258248,COMPLETE
2,208.9976302850031,2022-10-23 16:45:28.901579,2022-10-23 16:46:02.227386,0 days 00:00:33.325807,2.630636140950781e-05,,1.0570390583347136,FeatureWiz,10000,,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=2.630636140950781e-05,
                                                                  epsilon=1.0570390583347136,
                                                                  max_iter=10000),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,retained,MinMax,71.5008767106882,13.574852320669953,209.2965554768548,71.45194070269538,13.530385919247438,208.9976302850031,COMPLETE
3,166.56524152844187,2022-10-23 16:46:02.379073,2022-10-23 16:47:02.522079,0 days 00:01:00.143006,4.338095989017037e-06,no,1.8747103274076782,FeatureImportance_ET,10000,9.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=4.338095989017037e-06,
                                                                  epsilon=1.8747103274076782,
                                                                  max_iter=10000),
                                             number=9,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,9.0,retained,Standard,60.728731503217766,25.382750057348403,166.77556229717524,60.80634288080003,25.579105810788587,166.56524152844187,COMPLETE
4,192.4359378179511,2022-10-23 16:47:02.663441,2022-10-23 16:47:24.534082,0 days 00:00:21.870641,8.251073924929414e-05,yes,1.8079844837530312,MutualInformation,10000,8.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HuberRegressor(alpha=8.251073924929414e-05,
                                                                  epsilon=1.8079844837530312,
                                                                  max_iter=10000),
                                             number=8,
                                             scaling_indicator='Robust'))])",yes,MutualInformation,8.0,retained,Robust,73.96533358685879,28.91429882661554,192.6093304620183,73.97062418533638,28.89973016165654,192.4359378179511,COMPLETE
5,206.28600112709,2022-10-23 16:47:24.705297,2022-10-23 16:47:56.855311,0 days 00:00:32.150014,0.09094382646940287,,1.2075246218815436,FeatureWiz,10000,,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=0.09094382646940287,
                                                                  epsilon=1.2075246218815436,
                                                                  max_iter=10000),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,retained,Standard,71.3706022430381,15.392238717957667,206.54848788440543,71.33217057923652,15.243233728390203,206.28600112709,COMPLETE
6,196.40723835614764,2022-10-23 16:47:57.019253,2022-10-23 16:48:05.969848,0 days 00:00:08.950595,0.10593246274874238,yes,1.6838241552008708,ANOVA,10000,3.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.10593246274874238,
                                                                  epsilon=1.6838241552008708,
                                                                  max_iter=10000),
                                             number=3,
                                             scaling_indicator='Standard'))])",yes,ANOVA,3.0,retained,Standard,73.67194165497546,23.718040277146297,196.58238009232252,73.66789803968838,23.735753309429004,196.40723835614764,COMPLETE
7,170.67374495651714,2022-10-23 16:48:06.147276,2022-10-23 16:48:15.013935,0 days 00:00:08.866659,0.2960412804156586,no,1.7451742245692197,ANOVA,10000,13.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.2960412804156586,
                                                                  epsilon=1.7451742245692197,
                                                                  max_iter=10000),
                                             number=13,
                                             scaling_indicator='Standard'))])",no,ANOVA,13.0,retained,Standard,60.11278552912484,23.29816664644161,170.91396873128625,60.16893406990365,23.4166173777604,170.67374495651714,COMPLETE
8,173.52690591949093,2022-10-23 16:48:15.188933,2022-10-23 16:49:19.906671,0 days 00:01:04.717738,9.364354273543644e-06,no,1.336189991954704,FeatureImportance_ET,10000,12.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=9.364354273543644e-06,
                                                                  epsilon=1.336189991954704,
                                                                  max_iter=10000),
                                             number=12,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,12.0,retained,Standard,59.25343590347196,19.436576448980734,173.72188044953626,59.32439137459995,19.541404626685225,173.52690591949093,COMPLETE
9,249.0511125220119,2022-10-23 16:49:20.078416,2022-10-23 16:49:37.859491,0 days 00:00:17.781075,0.08689123810795973,no,1.4343037627790993,Lasso,10000,1.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.08689123810795973,
                                                                  epsilon=1.4343037627790993,
                                                                  max_iter=10000),
                                             number=1,
                                             scaling_indicator='Robust'))])",no,Lasso,1.0,retained,Robust,101.5628159109075,35.81907360852998,249.19027921320745,101.56417594887296,35.85323315050724,249.0511125220119,COMPLETE
