number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_device_type,params_drop_correlated,params_drop_rate,params_feature_selection,params_gpu_use_dp,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_number_features,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,80.4377467450211,2022-10-24 18:35:21.079143,2022-10-24 18:35:46.542691,0 days 00:00:25.463548,dart,gpu,yes,0.8675657456630034,ANOVA,False,0.10032809129075977,63,8,50,0.13948439945981203,2558,3.0,0.4069950417348816,0.6124638571417054,0.9040174624856749,6,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             model=LGBMRegressor(boosting_type='dart',
                                                                 device_type='gpu',
                                                                 drop_rate=0.8675657456630034,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.10032809129075977,
                                                                 max_bin=63,
                                                                 max_depth=8,
                                                                 min_child_samples=50,
                                                                 min_split_gain=0.13948439945981203,
                                                                 num_leaves=2558,
                                                                 random_state=120,
                                                                 reg_alpha=0.4069950417348816,
                                                                 reg_lambda=0.6124638571417054,
                                                                 subsample=0.9040174624856749,
                                                                 subsample_freq=6),
                                             number=3))])",yes,ANOVA,3.0,retained,no,30.229278060420825,12.951314833629572,79.78095931635045,30.433858141091648,13.000542566011537,80.4377467450211,COMPLETE
1,80.00601415999257,2022-10-24 18:35:46.709907,2022-10-24 18:36:17.618498,0 days 00:00:30.908591,gbdt,gpu,no,,Lasso,False,0.016136572419137088,63,5,56,0.2217714435824835,2075,28.0,0.1584490554179939,0.5128972744079245,0.7607537160280969,8,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.016136572419137088,
                                                                 max_bin=63,
                                                                 max_depth=5,
                                                                 min_child_samples=56,
                                                                 min_split_gain=0.2217714435824835,
                                                                 num_leaves=2075,
                                                                 random_state=120,
                                                                 reg_alpha=0.1584490554179939,
                                                                 reg_lambda=0.5128972744079245,
                                                                 subsample=0.7607537160280969,
                                                                 subsample_freq=8),
                                             number=28))])",no,Lasso,28.0,retained,no,31.50896121060137,17.475053801507258,78.37658373528927,31.773103576723866,17.477125670149988,80.00601415999257,COMPLETE
2,65.76866935534515,2022-10-24 18:36:17.802726,2022-10-24 18:36:27.915140,0 days 00:00:10.112414,gbdt,gpu,yes,,ANOVA,False,0.21739534049949805,63,4,30,5.1472006576256355,1395,25.0,2.345434192549536,17.96781724985763,0.5207244625040303,9,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='ANOVA',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.21739534049949805,
                                                                 max_bin=63,
                                                                 max_depth=4,
                                                                 min_child_samples=30,
                                                                 min_split_gain=5.1472006576256355,
                                                                 num_leaves=1395,
                                                                 random_state=120,
                                                                 reg_alpha=2.345434192549536,
                                                                 reg_lambda=17.96781724985763,
                                                                 subsample=0.5207244625040303,
                                                                 subsample_freq=9),
                                             number=25))])",yes,ANOVA,25.0,retained,no,16.877061461748468,5.4630045690825115,57.43280311541491,18.096008250782848,5.538607962786116,65.76866935534515,COMPLETE
3,103.2130830534809,2022-10-24 18:36:28.102646,2022-10-24 18:36:48.383416,0 days 00:00:20.280770,gbdt,gpu,yes,,Lasso,False,0.0108017062304733,63,5,72,6.287198581566359,2606,9.0,0.5241681182073382,0.6086274510535956,0.7588464393866539,5,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.0108017062304733,
                                                                 max_bin=63,
                                                                 max_depth=5,
                                                                 min_child_samples=72,
                                                                 min_split_gain=6.287198581566359,
                                                                 num_leaves=2606,
                                                                 random_state=120,
                                                                 reg_alpha=0.5241681182073382,
                                                                 reg_lambda=0.6086274510535956,
                                                                 subsample=0.7588464393866539,
                                                                 subsample_freq=5),
                                             number=9))])",yes,Lasso,9.0,retained,no,47.81865645028324,30.261993915263,102.45034626760757,47.99205512817522,30.165376831910564,103.2130830534809,COMPLETE
4,65.94699793003825,2022-10-24 18:36:48.575410,2022-10-24 18:37:25.924756,0 days 00:00:37.349346,gbdt,gpu,,,FeatureWiz,False,0.0740904037335583,63,10,97,5.265173034428641,3432,,5.518432395087113,0.6285118526609234,0.578606789412157,1,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='FeatureWiz',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.0740904037335583,
                                                                 max_bin=63,
                                                                 max_depth=10,
                                                                 min_child_samples=97,
                                                                 min_split_gain=5.265173034428641,
                                                                 num_leaves=3432,
                                                                 random_state=120,
                                                                 reg_alpha=5.518432395087113,
                                                                 reg_lambda=0.6285118526609234,
                                                                 subsample=0.578606789412157,
                                                                 subsample_freq=1)))])",no,FeatureWiz,,retained,no,16.541492480396865,4.365553054390884,63.87220894745104,17.167205729298853,4.506733779074241,65.94699793003825,COMPLETE
5,115.42671226437557,2022-10-24 18:37:26.128333,2022-10-24 18:37:52.407101,0 days 00:00:26.278768,gbdt,gpu,yes,,Lasso,False,0.22231825381535705,63,12,72,1.4040020274046248,775,5.0,73.78029766006897,0.24994350142787178,0.8787834386053498,5,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='Lasso',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.22231825381535705,
                                                                 max_bin=63,
                                                                 max_depth=12,
                                                                 min_child_samples=72,
                                                                 min_split_gain=1.4040020274046248,
                                                                 num_leaves=775,
                                                                 random_state=120,
                                                                 reg_alpha=73.78029766006897,
                                                                 reg_lambda=0.24994350142787178,
                                                                 subsample=0.8787834386053498,
                                                                 subsample_freq=5),
                                             number=5))])",yes,Lasso,5.0,retained,no,47.096646052824006,21.430285426887902,110.09849044249226,49.49304984703164,22.364118487210263,115.42671226437557,COMPLETE
6,90.86436048533865,2022-10-24 18:37:52.593753,2022-10-24 18:38:35.719853,0 days 00:00:43.126100,gbdt,gpu,yes,,FeatureImportance_ET,False,0.014679436205005452,63,11,28,4.19135278472528,2771,5.0,3.468122400070812,29.47731977435529,0.8688482910637126,4,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='FeatureImportance_ET',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.014679436205005452,
                                                                 max_bin=63,
                                                                 max_depth=11,
                                                                 min_child_samples=28,
                                                                 min_split_gain=4.19135278472528,
                                                                 num_leaves=2771,
                                                                 random_state=120,
                                                                 reg_alpha=3.468122400070812,
                                                                 reg_lambda=29.47731977435529,
                                                                 subsample=0.8688482910637126,
                                                                 subsample_freq=4),
                                             number=5))])",yes,FeatureImportance_ET,5.0,retained,no,36.66165763929762,20.557802766549596,90.22231159666434,36.90417350197711,20.58685385508815,90.86436048533865,COMPLETE
7,64.5023514433867,2022-10-24 18:38:35.938686,2022-10-24 18:38:53.841562,0 days 00:00:17.902876,gbdt,gpu,yes,,ANOVA,False,0.04357219444792708,63,10,47,0.7184346864058596,93,16.0,0.3880438929305367,0.5686304987046567,0.7273005500777981,3,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             method='ANOVA',
                                             model=LGBMRegressor(device_type='gpu',
                                                                 drop_rate=None,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.04357219444792708,
                                                                 max_bin=63,
                                                                 max_depth=10,
                                                                 min_child_samples=47,
                                                                 min_split_gain=0.7184346864058596,
                                                                 num_leaves=93,
                                                                 random_state=120,
                                                                 reg_alpha=0.3880438929305367,
                                                                 reg_lambda=0.5686304987046567,
                                                                 subsample=0.7273005500777981,
                                                                 subsample_freq=3),
                                             number=16))])",yes,ANOVA,16.0,retained,no,15.76714628897812,3.9504834489272986,59.81008159689162,16.896482033692187,4.151354627944044,64.5023514433867,COMPLETE
8,140.62693064438977,2022-10-24 18:38:54.020555,2022-10-24 18:39:04.549351,0 days 00:00:10.528796,dart,gpu,no,0.2191913341839089,ANOVA,False,0.036629469022869385,63,3,83,0.6564509714407719,4045,2.0,0.24682536456799037,78.05677556523854,0.9060897716742572,9,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             model=LGBMRegressor(boosting_type='dart',
                                                                 device_type='gpu',
                                                                 drop_rate=0.2191913341839089,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.036629469022869385,
                                                                 max_bin=63,
                                                                 max_depth=3,
                                                                 min_child_samples=83,
                                                                 min_split_gain=0.6564509714407719,
                                                                 num_leaves=4045,
                                                                 random_state=120,
                                                                 reg_alpha=0.24682536456799037,
                                                                 reg_lambda=78.05677556523854,
                                                                 subsample=0.9060897716742572,
                                                                 subsample_freq=9),
                                             number=2))])",no,ANOVA,2.0,retained,no,59.773420687276065,24.55216148167855,140.3945099200562,59.89067863653201,24.585539022493496,140.62693064438977,COMPLETE
9,66.41100027703398,2022-10-24 18:39:04.737098,2022-10-24 18:39:20.981175,0 days 00:00:16.244077,dart,gpu,no,0.00046870464861043675,ANOVA,False,0.08971295400225326,63,11,54,1.0207657681874571,2276,7.0,5.5495691974005,0.14131385028013183,0.7097018557558671,9,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                             model=LGBMRegressor(boosting_type='dart',
                                                                 device_type='gpu',
                                                                 drop_rate=0.00046870464861043675,
                                                                 drop_seed=120,
                                                                 gpu_use_dp=False,
                                                                 learning_rate=0.08971295400225326,
                                                                 max_bin=63,
                                                                 max_depth=11,
                                                                 min_child_samples=54,
                                                                 min_split_gain=1.0207657681874571,
                                                                 num_leaves=2276,
                                                                 random_state=120,
                                                                 reg_alpha=5.5495691974005,
                                                                 reg_lambda=0.14131385028013183,
                                                                 subsample=0.7097018557558671,
                                                                 subsample_freq=9),
                                             number=7))])",no,ANOVA,7.0,retained,no,17.353583783041373,4.998022837041933,66.05932540220188,17.518294390130755,5.058756202383257,66.41100027703398,COMPLETE
