number,value,datetime_start,datetime_complete,duration,params_C,params_drop_correlated,params_dual,params_feature_selection,params_loss,params_max_iter,params_number_features,params_outlier_indicator,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,65.68769923390859,2022-10-24 08:58:15.376577,2022-10-24 08:58:36.310017,0 days 00:00:20.933440,0.05150177448402826,no,False,Lasso,squared_epsilon_insensitive,10000,11.0,retained,Combine,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVR(C=0.05150177448402826,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=11,
                                             scaling_indicator='Combine'))])",no,Lasso,11.0,retained,Combine,25.54767900592559,11.362305001416395,65.03922585163572,25.616189696973265,11.372763224634573,65.68769923390859,COMPLETE
1,59.44939306573243,2022-10-24 08:58:36.478098,2022-10-24 08:59:06.657879,0 days 00:00:30.179781,0.6459128296222968,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,Standard,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.6459128296222968,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,retained,Standard,17.289313839598737,6.417885797713049,59.345816620750874,17.37130605963702,6.493839350956352,59.44939306573243,COMPLETE
2,64.01980930359012,2022-10-24 08:59:06.820470,2022-10-24 08:59:36.933524,0 days 00:00:30.113054,0.06479839508949997,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,MinMax,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.06479839508949997,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,retained,MinMax,24.584404876807298,12.076776759916063,63.35022376390069,24.661268243598823,12.080591675791368,64.01980930359012,COMPLETE
3,59.66181114616442,2022-10-24 08:59:37.080420,2022-10-24 08:59:44.738313,0 days 00:00:07.657893,0.4180550455914093,yes,False,Lasso,squared_epsilon_insensitive,10000,26.0,retained,MinMax,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVR(C=0.4180550455914093,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=26,
                                             scaling_indicator='MinMax'))])",yes,Lasso,26.0,retained,MinMax,18.15674394762838,6.98488395551415,59.46286329374934,18.217794132994992,7.015091918996145,59.66181114616442,COMPLETE
4,164.16661535471766,2022-10-24 08:59:44.898382,2022-10-24 08:59:58.487372,0 days 00:00:13.588990,0.0018952811886992732,no,False,Lasso,squared_epsilon_insensitive,10000,25.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVR(C=0.0018952811886992732,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=25,
                                             scaling_indicator='Standard'))])",no,Lasso,25.0,capped,Standard,77.06265892645509,39.72106242403793,164.1375252189889,77.1151412321659,39.85557382801298,164.16661535471766,COMPLETE
5,59.423007276423014,2022-10-24 08:59:58.634603,2022-10-24 09:00:28.974630,0 days 00:00:30.340027,0.029843463512503415,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,Robust,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.029843463512503415,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Robust'))])",no,FeatureWiz,,retained,Robust,17.31158356013355,6.583682244505084,59.3793293091793,17.402851430926717,6.666305474031733,59.423007276423014,COMPLETE
6,165.46088330368806,2022-10-24 09:00:29.129519,2022-10-24 09:01:00.374361,0 days 00:00:31.244842,0.2204236331862228,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,Combine,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.2204236331862228,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Combine'))])",no,FeatureWiz,,capped,Combine,77.0570717795487,40.16418604278338,165.4764799406506,77.09677111765374,40.09653261473357,165.46088330368806,COMPLETE
7,165.408839068014,2022-10-24 09:01:00.558095,2022-10-24 09:01:31.635339,0 days 00:00:31.077244,0.4441893919686882,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,Combine,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.4441893919686882,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Combine'))])",no,FeatureWiz,,capped,Combine,76.87636359164657,39.917416346237225,165.4182338143825,76.94776948760652,39.95995679010421,165.408839068014,COMPLETE
8,164.840491834683,2022-10-24 09:01:31.787467,2022-10-24 09:02:29.236262,0 days 00:00:57.448795,0.005237844018751225,no,False,FeatureImportance_ET,squared_epsilon_insensitive,10000,12.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVR(C=0.005237844018751225,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=12,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,12.0,capped,Standard,77.76451681793144,39.7446757802795,164.6975170033568,77.8267505407377,39.94976284885692,164.840491834683,COMPLETE
9,165.4513557584197,2022-10-24 09:02:29.372708,2022-10-24 09:03:00.292621,0 days 00:00:30.919913,0.011309911904280396,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,MinMax,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.011309911904280396,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,capped,MinMax,75.23451272947317,37.40825895109166,165.46177334389967,75.297475563597,37.45943275889799,165.4513557584197,COMPLETE
