number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_drop_correlated,params_feature_selection,params_max_depth,params_n_estimators,params_n_jobs,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,54.13005309156875,2022-10-24 14:41:25.812488,2022-10-24 14:41:55.627826,0 days 00:00:29.815338,66.94888870521439,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=RandomForestRegressor(ccp_alpha=66.94888870521439,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,16.608002563814935,9.355985906720028,40.667394580651994,17.676390997661496,9.436487761306104,54.13005309156875,COMPLETE
1,55.047354884822745,2022-10-24 14:41:55.768889,2022-10-24 14:42:29.493473,0 days 00:00:33.724584,74.61438997695103,no,Lasso,10,50,1,11.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=RandomForestRegressor(ccp_alpha=74.61438997695103,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120),
                                             number=11))])",no,Lasso,11.0,retained,no,16.95996074265365,9.427287938223161,41.65890583124921,18.042226674055957,9.552894938103696,55.047354884822745,COMPLETE
2,54.76221455088453,2022-10-24 14:42:29.629385,2022-10-24 14:43:28.395738,0 days 00:00:58.766353,73.81358694326958,no,FeatureImportance_ET,10,50,1,17.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=RandomForestRegressor(ccp_alpha=73.81358694326958,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120),
                                             number=17))])",no,FeatureImportance_ET,17.0,retained,no,16.89412671278853,9.41646837224456,41.46616572465871,17.946923483462644,9.498781794931547,54.76221455088453,COMPLETE
3,54.13444402286725,2022-10-24 14:43:28.567228,2022-10-24 14:44:05.160052,0 days 00:00:36.592824,63.28637710069775,no,MutualInformation,10,50,1,22.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=RandomForestRegressor(ccp_alpha=63.28637710069775,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120),
                                             number=22))])",no,MutualInformation,22.0,retained,no,16.37613694113376,9.300823885112035,40.21550295674084,17.476112063011588,9.366643635745568,54.13444402286725,COMPLETE
4,53.85592360016844,2022-10-24 14:44:05.316656,2022-10-24 14:44:40.554448,0 days 00:00:35.237792,52.07137888864909,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=RandomForestRegressor(ccp_alpha=52.07137888864909,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,16.05320251264076,9.084930236823698,38.933188463818986,17.24147921770216,9.176881744978905,53.85592360016844,COMPLETE
5,55.12028164643893,2022-10-24 14:44:40.727289,2022-10-24 14:45:38.041272,0 days 00:00:57.313983,72.6327091836818,no,FeatureImportance_ET,10,50,1,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=RandomForestRegressor(ccp_alpha=72.6327091836818,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120),
                                             number=14))])",no,FeatureImportance_ET,14.0,retained,no,16.87417599470712,9.387044458773795,41.44937045957362,17.94842904766324,9.467131403830232,55.12028164643893,COMPLETE
6,54.20986044258865,2022-10-24 14:45:38.188979,2022-10-24 14:46:08.414271,0 days 00:00:30.225292,68.78746101452839,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=RandomForestRegressor(ccp_alpha=68.78746101452839,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,16.67834788571633,9.36247494872328,40.89826391080479,17.72662425756854,9.427465695133286,54.20986044258865,COMPLETE
7,54.06644394640566,2022-10-24 14:46:08.560632,2022-10-24 14:46:38.790907,0 days 00:00:30.230275,57.98546032568388,no,MutualInformation,10,50,1,10.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=RandomForestRegressor(ccp_alpha=57.98546032568388,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120),
                                             number=10))])",no,MutualInformation,10.0,retained,no,16.192199607293627,9.16744023848092,39.773260020431564,17.308332182622085,9.255367495594907,54.06644394640566,COMPLETE
8,53.90611224857225,2022-10-24 14:46:38.938524,2022-10-24 14:47:09.112072,0 days 00:00:30.173548,53.51450913861298,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=RandomForestRegressor(ccp_alpha=53.51450913861298,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,16.10326286043455,9.098277378526141,39.308142414886944,17.304481264008817,9.186443598094288,53.90611224857225,COMPLETE
9,53.919666955544024,2022-10-24 14:47:09.267873,2022-10-24 14:47:39.469809,0 days 00:00:30.201936,65.46780765124223,,FeatureWiz,10,50,1,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=RandomForestRegressor(ccp_alpha=65.46780765124223,
                                                                         max_depth=10,
                                                                         n_estimators=50,
                                                                         n_jobs=1,
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,16.538045261319496,9.346130444379344,40.51520349187498,17.59887562571345,9.42893785911503,53.919666955544024,COMPLETE
