number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_drop_correlated,params_eta,params_eval_metric,params_feature_selection,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_num_round,params_number_features,params_objective,params_rate_drop,params_single_precision_histogram,params_subsample,params_tree_method,params_verbosity,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,56.722510974415364,2022-10-24 17:57:53.538255,2022-10-24 17:58:13.809330,0 days 00:00:20.271075,36.58201619571843,gbtree,0.5756230914160778,yes,0.2728673568062522,rmse,ANOVA,1.2529078326418606,867.5657456630031,10,6.934884882255505,50,30.0,reg:squarederror,,True,0.7531923985828232,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=867.5657456630031,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=10,
                                                                max_leaves=None,
                                                                min_child_weight=6.934884882255505,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=30))])",yes,ANOVA,30.0,retained,no,10.265659973651339,5.9730067788443995,19.27459017208615,18.91041034588054,7.550685454672446,56.722510974415364,COMPLETE
1,52.978374131517455,2022-10-24 17:58:13.977896,2022-10-24 17:58:23.285674,0 days 00:00:09.307778,0.49972784065643716,gbtree,0.8138817266983857,no,0.12541104082730825,rmse,ANOVA,0.2998842372714886,13.360426928449684,6,10.52227463510853,50,5.0,reg:squarederror,,True,0.7607537160280969,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=13.360426928449684,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=6,
                                                                max_leaves=None,
                                                                min_child_weight=10.52227463510853,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=5))])",no,ANOVA,5.0,retained,no,13.891563314757784,5.159554436587727,49.08309687906651,14.390606611264701,5.184843142456053,52.978374131517455,COMPLETE
2,64.66260645563786,2022-10-24 17:58:23.472999,2022-10-24 17:58:56.348050,0 days 00:00:32.875051,0.34787043973517046,dart,0.8806994124295388,no,0.4293222467350165,rmse,MutualInformation,0.1755526594171832,1.144304732115539,3,2.278283524056196,50,10.0,reg:squarederror,0.44411045084867223,True,0.5207244625040303,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=1.144304732115539,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=3,
                                                                max_leaves=None,
                                                                min_child_weight=2.278283524056196,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=10))])",no,MutualInformation,10.0,retained,no,27.053170970049525,13.456196583668621,62.89842406685934,27.311519364757334,13.511913387137044,64.66260645563786,COMPLETE
3,57.44278324264483,2022-10-24 17:58:56.525756,2022-10-24 17:59:06.111734,0 days 00:00:09.585978,0.8417170868147147,gbtree,0.7588464393866539,no,0.3641706421832429,rmse,ANOVA,0.11276484632956171,66.84068956142526,7,0.6649108135921268,50,1.0,reg:squarederror,,True,0.5511742390254009,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=66.84068956142526,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=7,
                                                                max_leaves=None,
                                                                min_child_weight=0.6649108135921268,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=1))])",no,ANOVA,1.0,retained,no,15.163523283730415,5.948503407083334,51.22264260795965,15.599516095560768,6.017545253489588,57.44278324264483,COMPLETE
4,75.23390637733557,2022-10-24 17:59:06.296148,2022-10-24 17:59:25.407001,0 days 00:00:19.110853,32.169448630473504,dart,0.578606789412157,yes,0.15756729708347114,rmse,ANOVA,2.264111528670267,724.1546454568894,9,98.28857026342195,50,3.0,reg:squarederror,0.00022084789574957898,True,0.8063615736488038,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=724.1546454568894,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=9,
                                                                max_leaves=None,
                                                                min_child_weight=98.28857026342195,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=3))])",yes,ANOVA,3.0,retained,no,32.05761073560527,18.535043653719075,75.01553209018493,32.1542823249081,18.59430468514323,75.23390637733557,COMPLETE
5,101.9773227995229,2022-10-24 17:59:25.587835,2022-10-24 17:59:59.169202,0 days 00:00:33.581367,2.6394938042194647,dart,0.5481390983549954,yes,0.13527225939740295,rmse,FeatureImportance_ET,4.148762326769556,179.60496801902553,3,40.188011769867735,50,1.0,reg:squarederror,0.6476545523889669,True,0.9699485542260512,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=179.60496801902553,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=3,
                                                                max_leaves=None,
                                                                min_child_weight=40.188011769867735,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=1))])",yes,FeatureImportance_ET,1.0,retained,no,49.47454784552652,26.70410174843832,101.04069155708116,49.65763191381802,26.837234879842935,101.9773227995229,COMPLETE
6,58.95725756572724,2022-10-24 17:59:59.350906,2022-10-24 18:00:16.969893,0 days 00:00:17.618987,24.633639915275843,gbtree,0.7136876959147768,yes,0.4253978959550673,rmse,Lasso,3.588413732903671,0.49343128341858433,4,0.9679894381080256,50,12.0,reg:squarederror,,True,0.6535811897974644,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=0.49343128341858433,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=4,
                                                                max_leaves=None,
                                                                min_child_weight=0.9679894381080256,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=12))])",yes,Lasso,12.0,retained,no,12.615838501801242,5.901298740478516,28.107605251078244,16.274924043035366,6.059613050521645,58.95725756572724,COMPLETE
7,55.51298190892106,2022-10-24 18:00:17.141444,2022-10-24 18:00:44.274967,0 days 00:00:27.133523,3.952661138827788,gbtree,0.5937514899812381,,0.20066529636002362,rmse,FeatureWiz,6.248124190244881,362.4796342211043,5,0.12135371798270747,50,,reg:squarederror,,True,0.7273005500777981,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                gpu_id=None,
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=362.4796342211043,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=5,
                                                                max_leaves=None,
                                                                min_child_weight=0.12135371798270747,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...)))])",no,FeatureWiz,,retained,no,12.924781709696632,6.359052537760412,30.213460820395397,16.09730827363266,6.649936219056802,55.51298190892106,COMPLETE
8,51.30469544449475,2022-10-24 18:00:44.455758,2022-10-24 18:01:04.248685,0 days 00:00:19.792927,91.6641570879104,dart,0.5448322441663604,yes,0.2530829634322601,rmse,ANOVA,0.3440013333198808,0.11390126989782559,4,11.252323581932279,50,13.0,reg:squarederror,0.0022064683326116414,True,0.8832976330697873,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=0.11390126989782559,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=4,
                                                                max_leaves=None,
                                                                min_child_weight=11.252323581932279,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=13))])",yes,ANOVA,13.0,retained,no,13.692356757706861,5.898607866460776,37.53629096581452,15.387364792705931,6.009580567825515,51.30469544449475,COMPLETE
9,57.221759966250715,2022-10-24 18:01:04.430071,2022-10-24 18:01:21.105273,0 days 00:00:16.675202,8.61444620627157,gbtree,0.7344659125841444,yes,0.4024311383591036,rmse,MutualInformation,1.731504659578251,0.1577264532000003,5,0.22909901461932,50,2.0,reg:squarederror,,True,0.8918098657195069,gpu_hist,0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_mo...
                                                                grow_policy=None,
                                                                importance_type=None,
                                                                interaction_constraints=None,
                                                                lambdas=0.1577264532000003,
                                                                learning_rate=None,
                                                                max_bin=None,
                                                                max_cat_to_onehot=None,
                                                                max_delta_step=None,
                                                                max_depth=5,
                                                                max_leaves=None,
                                                                min_child_weight=0.22909901461932,
                                                                missing=nan,
                                                                monotone_constraints=None,
                                                                n_estimators=100,
                                                                n_jobs=None,
                                                                num_parallel_tree=None,
                                                                num_round=50, ...),
                                             number=2))])",yes,MutualInformation,2.0,retained,no,15.080392400921072,5.682894049794924,50.823857393080054,15.506216620389566,5.746489255169266,57.221759966250715,COMPLETE
